cycle,reward,avg_episode_len
0,0.0,0.09699999999999999,0.0
100,0.016,7.690000000000001,0.001984675120214724
200,0.020000000000000007,8.101000000000004,0.0020652666278621005
300,0.02700000000000001,8.879,0.0025475368359902766
400,0.020000000000000004,10.171999999999999,0.002259171494571345
500,0.04200000000000001,10.870999999999997,0.0040284477077634434
600,0.047000000000000014,11.603999999999996,0.005037025309138105
700,0.06199999999999997,12.468000000000002,0.006565414949651329
800,0.06599999999999999,13.286000000000008,0.008123955948065002
900,0.08699999999999995,14.246000000000008,0.010978083023714249
1000,0.09299999999999993,15.152000000000001,0.013127141645776446
1100,0.09599999999999996,16.174000000000007,0.014383595804318711
1200,0.11899999999999997,17.627000000000002,0.01684412898843353
1300,0.10599999999999991,18.358999999999998,0.016530940766283378
1400,0.1539999999999999,18.770999999999997,0.016788000120376085
1500,0.20799999999999996,20.49199999999999,0.01816979092277518
1600,0.26099999999999995,20.766,0.020252564625947937
1700,0.25500000000000017,21.884999999999994,0.023308994883261124
1800,0.2649999999999999,22.856000000000005,0.022039888625006124
1900,0.302,22.768000000000008,0.02265921226134644
2000,0.3150000000000001,25.124999999999996,0.022514168911136667
2100,0.35900000000000015,25.628999999999998,0.020956620084043146
2200,0.3579999999999999,26.840999999999994,0.0212513128854582
2300,0.39099999999999985,28.197999999999993,0.02090484897309728
2400,0.41700000000000004,27.256999999999994,0.01993763521148269
2500,0.40599999999999986,29.621999999999993,0.020140472226238666
2600,0.42999999999999994,29.819000000000006,0.020101354068249692
2700,0.4659999999999998,31.484999999999996,0.01938695820532996
2800,0.49099999999999994,31.245000000000008,0.019639050107243875
2900,0.49399999999999983,33.146,0.019527646323475006
3000,0.5260000000000001,32.51700000000001,0.017960616340741545
3100,0.5249999999999999,34.34,0.019816299649411864
3200,0.5389999999999999,35.551,0.01796689149729731
3300,0.585,34.866,0.01912701845801512
3400,0.5760000000000004,37.05300000000002,0.019228731444477832
3500,0.6200000000000003,36.11200000000001,0.018576269431937104
3600,0.6150000000000003,37.274,0.019354560607763183
3700,0.6040000000000002,38.13099999999999,0.019371903907072163
3800,0.6470000000000004,36.98899999999999,0.018375364524094762
3900,0.6250000000000003,37.84600000000001,0.018498115970726002
4000,0.653,39.790000000000006,0.019041232537120686
4100,0.6730000000000004,39.66,0.018588120886398437
4200,0.6659999999999999,37.99999999999998,0.0179222592883422
4300,0.6460000000000001,40.173,0.01982349032425879
4400,0.6679999999999999,40.46400000000001,0.01862142905019232
4500,0.6990000000000002,39.90100000000001,0.01833568715660587
4600,0.7059999999999998,43.01599999999999,0.01793799389010992
4700,0.6859999999999998,42.098,0.018463252456573133
4800,0.6870000000000003,43.623999999999995,0.018693034074124985
4900,0.672,42.336000000000006,0.01731888197235924
5000,0.6740000000000002,44.71099999999999,0.018546808779870794
5100,0.7040000000000002,41.394000000000005,0.017407213390780413
5200,0.6730000000000003,43.130999999999986,0.018700652226482543
5300,0.6970000000000002,43.03699999999998,0.017666597719178268
5400,0.6930000000000004,42.42899999999998,0.017611188213431696
5500,0.7010000000000004,43.24099999999999,0.018122723262094177
5600,0.6610000000000003,44.04200000000001,0.01884084053574967
5700,0.7000000000000002,42.23199999999999,0.018598902594979982
5800,0.728,43.217000000000006,0.016333892442152317
5900,0.7149999999999997,43.75,0.018721702381051714
6000,0.6799999999999997,42.25,0.018358983162041348
6100,0.693,42.161,0.017639254120140578
6200,0.6850000000000004,42.113,0.01859210025529081
6300,0.6759999999999999,43.70099999999999,0.017893388188760264
6400,0.6870000000000003,42.266000000000005,0.01868093331779698
6500,0.7230000000000001,43.67299999999998,0.016900713208598248
6600,0.6830000000000003,41.99299999999998,0.01875434925541396
6700,0.661,44.391999999999996,0.019180457409566448
6800,0.7040000000000001,40.44899999999999,0.016939488026909588
6900,0.681,43.849,0.019172739952714957
7000,0.7160000000000001,42.34,0.017526611931041946
7100,0.7119999999999999,42.02700000000001,0.01770568786184214
7200,0.6850000000000003,42.817,0.018669007029107555
7300,0.706,42.41899999999999,0.018337501618048438
7400,0.6830000000000002,43.16000000000001,0.019068173020407995
7500,0.7030000000000001,43.50699999999999,0.01701810348115592
7600,0.6939999999999997,42.059000000000005,0.018422107829238837
7700,0.7129999999999996,43.015000000000015,0.01727690912544221
7800,0.7150000000000002,42.05700000000002,0.01761138102141565
7900,0.7040000000000003,43.16400000000001,0.01802224143640031
8000,0.7160000000000002,42.68499999999999,0.017497985607294916
8100,0.6820000000000005,42.608000000000004,0.01790273218156798
8200,0.7010000000000004,42.365,0.018349351616004445
8300,0.6920000000000001,43.716,0.017963956774750604
8400,0.6759999999999998,42.58999999999999,0.018336351623302553
8500,0.7110000000000002,42.56800000000001,0.01768031573364051
8600,0.6879999999999998,43.64099999999999,0.018213980298783076
8700,0.679,42.79799999999998,0.018946721717011363
8800,0.7220000000000002,41.59700000000001,0.017065945898519768
8900,0.7150000000000002,42.333,0.017247068714433048
9000,0.7160000000000001,43.063,0.017745456042444915
9100,0.687,44.81800000000001,0.0191136668168088
9200,0.6839999999999999,42.78700000000001,0.018023385861910234
9300,0.6949999999999998,41.939000000000014,0.018551480066187
9400,0.686,42.89799999999998,0.018687353030659007
9500,0.6920000000000001,43.056,0.01810661890705592
9600,0.701,42.57400000000001,0.018121147069091167
9700,0.6750000000000002,43.02900000000002,0.018913921058328502
9800,0.7130000000000004,42.743,0.017914849614685306
